user_input,reference_contexts,reference
"Türk Standardları Enstitüsü, yurt hizmetlerinin kalitesine nasıl katkıda bulunmuştur?","[""General Information: There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports.\xa0\nMale students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.\nAs for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.\nThe Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.\nThe services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.\nTherefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.\nWe endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.\n""]","Yurtlar Ofisi, 2005 yılında Türk Standartları Enstitüsü'nden (TSE) öğrenci konaklama sorunlarını yüksek standartta bir hizmet sunarak çözmeyi amaçlayarak TSE-EN ISO 9001-2000 kalite belgesini almıştır. 2021 yılında TSE-EN ISO 9001:2015 standartlarına uygun olarak gerçekleştirilen denetimler başarıyla tamamlanmış ve yüksek kaliteli yurt hizmetlerini sürdürme taahhüdünü göstermiştir."
"Rektörlük, ODTÜ'deki yurt başvuru sürecini nasıl etkiler?","[""General Information: There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports.\xa0\nMale students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.\nAs for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.\nThe Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.\nThe services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.\nTherefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.\nWe endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.\n""]","Her yıl, Yurtlar İdare Kurulu, yurt başvurularını yurtların mevcut kapasitesi, başvuru sayısı ve yukarıda belirtilen yönetmeliklere göre belirlenen ve Rektörlük tarafından onaylanan yurtlarda kalma koşulları esas alınarak değerlendirir. Ardından, başvuruları kabul edilen öğrencilerin kayıt işlemleri gerçekleştirilir."
Taşımacılık için çalışma saatleri nelerdir?,"['Transportation: There are buses and minibuses operating between the city center and the dormitories between the hours 07.00 and 24.00. Besides, there also are ring busses that operate between dormitories and departments.\n']",Şehir merkezi ile yurtlar arasında 07.00 ile 24.00 saatleri arasında çalışan otobüsler ve minibüsler bulunmaktadır.
Otobüsler şehir merkezinden yurtlara hangi saatlerde çalışıyor?,"['Transportation: There are buses and minibuses operating between the city center and the dormitories between the hours 07.00 and 24.00. Besides, there also are ring busses that operate between dormitories and departments.\n']",Şehir merkezi ile yurtlar arasında 07.00 ile 24.00 saatleri arasında çalışan otobüsler ve minibüsler bulunmaktadır.
Ankara dışındaki öğrenciler yurtlara başvurabilir mi?,"['Application for Dormitories: Students whose family resides outside of Ankara can apply for the dormitories. Students who start our university this year, if they want to stay in our dormitories, must fill out the dormitory-related sections on the YKS Registration Program website during their university registration process and thus complete their applications.\n']",Ankara dışında ailesi yaşayan öğrenciler yurtlara başvurabilir.
YKS Kayıt Programı kullanarak yurt başvurusu nasıl yapılır?,"['Application for Dormitories: Students whose family resides outside of Ankara can apply for the dormitories. Students who start our university this year, if they want to stay in our dormitories, must fill out the dormitory-related sections on the YKS Registration Program website during their university registration process and thus complete their applications.\n']","Ankara dışında ailesi yaşayan öğrenciler yurtlara başvurabilir. Bu yıl üniversitemize başlayan öğrenciler, yurtlarımızda kalmak istiyorlarsa, üniversite kayıt sürecinde YKS Kayıt Programı web sitesindeki yurtla ilgili bölümleri doldurmalı ve böylece başvurularını tamamlamalıdır."
Yurtlar Ofisi'nde başvuruları değerlendirme süreci nedir?,"[""Evaluation of the Applications: The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.\nThe students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.""]","Yurt başvurusu yapan her öğrencinin ailesinin ekonomik ve sosyal durumu yerel yönetim birimleri aracılığıyla araştırılmaktadır. Yerel otoritelerden elde edilen bu bilgiler ve öğrencilerin YKS'ye göre puanları/sıralamaları, Yurtlar İdare Kurulu tarafından belirlenen ve Rektörlük tarafından onaylanan kriterlere uygun olarak her öğrenci için genel bir puan oluşturmak amacıyla dikkate alınmaktadır. Başvuruların sonuçları Yurtlar Ofisi web sitesinde ilan edilmektedir. Öğrenciler puanlarını öğrendikten sonra, yurtlara ne zaman kayıt olabileceklerini ve bir sonraki öğrenci yerleştirme tarihlerini kayıtlarla ilgili ilan tablolarından öğrenebilirler."
Yurtlar Ofisine başvuru süreci nedir?,"[""Evaluation of the Applications: The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.\nThe students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.""]","Yurt başvurusu yapan her öğrencinin ailesinin ekonomik ve sosyal durumu yerel yönetim birimleri aracılığıyla araştırılmaktadır. Yerel otoritelerden elde edilen bu bilgiler ve öğrencilerin YKS'ye göre puanları/sıralamaları, Yurtlar İdare Kurulu tarafından belirlenen ve Rektörlük tarafından onaylanan kriterlere uygun olarak her öğrenci için genel bir puan oluşturmak amacıyla dikkate alınmaktadır. Başvuruların sonuçları Yurtlar Ofisi web sitesinde ilan edilmektedir. Öğrenciler puanlarını öğrendikten sonra, yurtlara ne zaman kayıt olabileceklerini ve bir sonraki öğrenci yerleştirme tarihlerini kayıtlarla ilgili ilan panolarından öğrenebilirler."
"Bir Öğrenci Konut Koordinatörü olarak, yurtlarda konaklama arayan öğrenciler için kayıt sürecinde Yurtlar Ofisi'nin özel rolünü, özellikle gerekli belgelerin sunulmasıyla ilgili olarak açıklayabilir misiniz?","['Registration for Dormitories: The placement of students to the dormitories are carried out according to their scores. Each week, considering how many rooms and beds remain vacant, new students with lower scores are placed. This placement process continues until all the students, who applied for the dormitories within the application dates, are listed. When a student is entitled to register for the dormitory, they are expected to gather all the required documents and submit them to the Office of Dormitories to complete the registration process.\n']","Yurtlar Ofisi, konaklama arayan öğrenciler için kayıt sürecinde önemli bir rol oynamaktadır. Bir öğrenci yurt kaydı için hak kazandığında, gerekli tüm belgeleri toplaması ve kayıt sürecini tamamlamak için Yurtlar Ofisi'ne sunması beklenir. Bu, öğrencilerin yerleştirilmesinin verimli bir şekilde ve belirlenen yönergelere uygun olarak gerçekleştirilmesini sağlar."
"Bir Öğrenci Konaklama Koordinatörü olarak, konaklama arayan öğrenciler için kayıt sürecinde Yurtlar Ofisi'nin rolünü açıklayabilir misiniz?","['Registration for Dormitories: The placement of students to the dormitories are carried out according to their scores. Each week, considering how many rooms and beds remain vacant, new students with lower scores are placed. This placement process continues until all the students, who applied for the dormitories within the application dates, are listed. When a student is entitled to register for the dormitory, they are expected to gather all the required documents and submit them to the Office of Dormitories to complete the registration process.\n']","Yurtlar Ofisi, konaklama arayan öğrencilerin kayıt sürecinden sorumludur. Bir öğrenci yurt kaydı için hak kazandığında, gerekli tüm belgeleri toplaması ve kayıt sürecini tamamlamak için Yurtlar Ofisi'ne teslim etmesi beklenir. Bu, öğrencilerin yurtlara yerleştirilmesinin, puanlarına göre verimli bir şekilde gerçekleştirildiğini ve başvuru tarihleri içinde başvuran tüm öğrencilerin listelendiğini garanti eder."
